ResponseId,LanguageHaveWorkedWith
1,NA
2,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Python;TypeScript
3,C#
4,C;C++;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL;TypeScript
5,C++;HTML/CSS;JavaScript;Lua;Python;Rust
6,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;Rust;Swift;TypeScript
7,R
8,HTML/CSS;JavaScript;TypeScript
9,Lua
10,HTML/CSS;JavaScript;TypeScript
11,JavaScript;Python;Ruby
12,C;C#;C++;Delphi;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript;VBA;Visual Basic (.Net)
13,Bash/Shell (all shells);C#;JavaScript;PowerShell;VBA
14,PHP;Python
15,C;C++
16,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript;VBA;Visual Basic (.Net)
17,Rust;TypeScript
18,HTML/CSS;JavaScript;TypeScript
19,C#;HTML/CSS;JavaScript;PHP;Python;SQL
20,PowerShell;SQL
21,Bash/Shell (all shells);HTML/CSS;PHP;Python;SQL;VBA
22,C#;HTML/CSS;Java;PHP;SQL
23,Bash/Shell (all shells);C#;F#;JavaScript;PowerShell;SQL
24,HTML/CSS;JavaScript;PHP;Python;SQL
25,Clojure;Java;JavaScript;SQL
26,C#;HTML/CSS;Java;JavaScript;Python;SQL;VBA;Visual Basic (.Net)
27,C#;HTML/CSS;JavaScript;Python;Scala;SQL
28,Bash/Shell (all shells);Lua;TypeScript
29,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL
30,C#;HTML/CSS;JavaScript;SQL
31,Go;HTML/CSS;Java;JavaScript;Perl;Python;TypeScript
32,Bash/Shell (all shells);Go;HTML/CSS;Python;Scala;SQL
33,Bash/Shell (all shells);JavaScript;PHP;SQL;TypeScript
34,Bash/Shell (all shells);Python
35,C++;HTML/CSS;Java;JavaScript;MATLAB;Perl;PowerShell;Python;SQL;TypeScript
36,Bash/Shell (all shells);C#;C++;HTML/CSS;PowerShell;Python;SQL;VBA
37,Bash/Shell (all shells);C#;Java;OCaml;SQL
38,Python
39,HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript
40,C;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript
41,HTML/CSS;JavaScript;Ruby;SQL
42,Bash/Shell (all shells);C++;Python
43,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Rust;TypeScript
44,Assembly;C#;C++;HTML/CSS;JavaScript;MATLAB;Python;SQL;VBA
45,C#;HTML/CSS;JavaScript;SQL;TypeScript
46,C#;Dart;Fortran;Go;Julia;Python;SQL;VBA
47,C;C++
48,Crystal;Julia;R;Ruby
49,Delphi;Fortran;SQL
50,Java;JavaScript;SQL
51,Assembly;C#;Java;JavaScript;Python;Rust
52,Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript;VBA
53,C;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript
54,C#;HTML/CSS;JavaScript;SQL
55,C++;HTML/CSS;JavaScript;Kotlin;Lua;PowerShell;Python;SQL;TypeScript
56,C;Go;Python;SQL
57,C#;JavaScript;Lua
58,Python
59,C;C++;HTML/CSS;JavaScript;Python;SQL
60,Bash/Shell (all shells);C#;Java;PowerShell;Python;SQL
61,Assembly;C++;Go;HTML/CSS;JavaScript;Julia;Lisp;PHP;Prolog;Rust;SQL;TypeScript
62,C#;JavaScript;SQL;TypeScript
63,Assembly;C;HTML/CSS;JavaScript
64,PowerShell;Ruby
65,Java
66,Assembly;C;C++;Dart;Kotlin;PHP;SQL
67,Assembly;Bash/Shell (all shells);C;C#;C++;Dart;Haskell;Java;Python;SQL
68,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript
69,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;Perl;Python;SQL;TypeScript
70,C#;HTML/CSS;JavaScript;SQL;Visual Basic (.Net)
71,NA
72,C#;PowerShell;SQL
73,Assembly;Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;Python;R;SQL;TypeScript
74,C++;Python;R
75,Ada;Assembly;Bash/Shell (all shells);C;C++;Clojure;Crystal;Dart;Elixir;Erlang;Fortran;Go;Groovy;Haskell;HTML/CSS;Java;JavaScript;Julia;Kotlin;Lisp;Lua;OCaml;Perl;PowerShell;Python;R;Rust;Scala;SQL;TypeScript;Zig
76,HTML/CSS;JavaScript
77,Groovy;HTML/CSS;Java;JavaScript;Python
78,Bash/Shell (all shells);C++;HTML/CSS;JavaScript;Python;SQL;TypeScript
79,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL
80,C#;JavaScript;TypeScript
81,C#;PowerShell;Rust
82,Go;HTML/CSS;JavaScript;Python;TypeScript
83,C;Python
84,Bash/Shell (all shells);C;C++;Go;JavaScript;Python
85,C#;C++;HTML/CSS;JavaScript;Kotlin;Lua;PowerShell;SQL
86,SQL
87,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript
88,HTML/CSS;Python;Rust
89,C#;HTML/CSS;JavaScript;SQL;VBA;Visual Basic (.Net)
90,C;C++;HTML/CSS;Java;JavaScript;PHP;SQL;Visual Basic (.Net)
91,Python
92,Bash/Shell (all shells);C;C#;C++;HTML/CSS;JavaScript;PHP;Python;Rust;SQL;TypeScript
93,C;C++;Groovy;HTML/CSS;Java;JavaScript;PHP;Python;SQL
94,GDScript;JavaScript;PHP
95,C#;HTML/CSS;JavaScript;PHP;PowerShell
96,C#;HTML/CSS;JavaScript;PHP;SQL
97,Bash/Shell (all shells);C#;JavaScript
98,Bash/Shell (all shells);C;C++;Java;Python
99,C#;JavaScript;PowerShell;SQL
100,C;C#;C++;HTML/CSS;Java;JavaScript;Python;Ruby;SQL;TypeScript
101,Bash/Shell (all shells);Go;SQL
102,C#;JavaScript;SQL;TypeScript
103,Go;PHP;Python;SQL
104,Assembly;Bash/Shell (all shells);C;C#;C++;HTML/CSS;Lua;MATLAB;PowerShell;SQL
105,C#;HTML/CSS;Java;JavaScript;PHP;SQL;VBA;Visual Basic (.Net)
106,Bash/Shell (all shells);Go;HTML/CSS;Python
107,Assembly;Bash/Shell (all shells);C;C++;F#;Haskell;HTML/CSS;Java;JavaScript;PowerShell;Python;Scala;SQL;TypeScript
108,C#;HTML/CSS;VBA
109,C#;PowerShell;SQL
110,HTML/CSS;Java;JavaScript;Prolog;Scala;TypeScript
111,C;C#;HTML/CSS;Java;Python;SQL
112,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PowerShell;Python
113,Bash/Shell (all shells);HTML/CSS;JavaScript;Kotlin;TypeScript
114,C;C#;C++;Elixir;Erlang;Go;HTML/CSS;Java;JavaScript;PHP;Python;R;Ruby;SQL;TypeScript;VBA;Visual Basic (.Net)
115,JavaScript;TypeScript
116,C#
117,Bash/Shell (all shells);C;C++;Kotlin;PowerShell;Python;Rust
118,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;TypeScript
119,C#;Go;Python;SQL
120,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL;TypeScript
121,Bash/Shell (all shells);HTML/CSS;JavaScript;SQL
122,C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript
123,Java;JavaScript;Kotlin;Lua;MicroPython;Python;Rust;Scala;TypeScript
124,Go
125,HTML/CSS;Java;JavaScript;Python;TypeScript
126,HTML/CSS;Kotlin;Objective-C;Python;Ruby;Swift;TypeScript
127,Go;Python
128,Assembly;Bash/Shell (all shells);C;C#;C++;Dart;Go;HTML/CSS;Java;Kotlin;Python;Rust;SQL
129,C#;C++;HTML/CSS;JavaScript;PowerShell;SQL
130,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;SQL
131,C++
132,JavaScript;TypeScript
133,HTML/CSS;JavaScript;PHP;SQL
134,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;Rust;SQL
135,C#;PowerShell;Python
136,C;C#;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript
137,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL
138,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;TypeScript
139,Assembly;C;C#;C++;HTML/CSS;JavaScript;Lua;TypeScript
